"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"2086-01-01 00:00:00",,,,186.5,173.6,199.4,178.5,160.6,198.2,152,129.3,173.1
"2087-01-01 00:00:00",,,,188,171,198.4,176.5,153.6,200,151.5,129,167.7
"2088-01-01 00:00:00",,,,183.5,164.6,194.4,170,158.3,197.4,153,139.3,176.9
"2089-01-01 00:00:00",,,,180,171.3,200.4,176,149.6,190,153.5,126.2,174
"2090-01-01 00:00:00",,,,190,165.9,206.1,176,151.2,192.1,148.5,127.8,169
"2091-01-01 00:00:00",,,,195,168.9,204,177,155.3,195,145,124.9,168.6
"2092-01-01 00:00:00",,,,188.5,170.6,200.1,174,156.9,194.4,151,122.9,172.8
"2093-01-01 00:00:00",,,,187,162.9,198.7,179.5,154.6,191.4,144.5,123.6,169.7
"2094-01-01 00:00:00",,,,189.5,170.4,204.7,179.5,152.3,197.8,148.5,119.9,167.4
"2095-01-01 00:00:00",,,,188.5,170,204.7,173,157.6,196.3,151.5,125.2,169.8
"2096-01-01 00:00:00",,,,184,170.6,202.4,174,156.3,188.7,148.5,118.9,168.5
"2097-01-01 00:00:00",,,,184,163.6,196.5,176,144.3,196.4,142.5,120.3,157.5
"2098-01-01 00:00:00",,,,187,176,205.8,174.5,157,189.2,143.5,122.6,158.7
"2099-01-01 00:00:00",,,,184.5,162,198.7,173.5,148.6,189,146,115.2,167.3
"2100-01-01 00:00:00",,,,185,170.2,195.7,172,144,185.6,145,107.5,167
