"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"2061-01-01 00:00:00",,,,103.5,87.8,117.5,107,89.6,130.4,107,91,122.5
"2062-01-01 00:00:00",,,,108,92.5,120.4,108,85,118.7,105,92.6,120.8
"2063-01-01 00:00:00",,,,108,92.2,120.4,101.5,84.2,123.7,104.5,85.6,122.3
"2064-01-01 00:00:00",,,,103.5,89.8,114.9,106,90.2,115.8,107.5,90.2,116
"2065-01-01 00:00:00",,,,97.5,90,113.1,109,93.3,120,102,87.6,121.7
"2066-01-01 00:00:00",,,,103,93.3,115.4,105,82,119.7,101,84.6,119.4
"2067-01-01 00:00:00",,,,116.5,91.6,127.7,105,88.3,120.4,100.5,89,124.7
"2068-01-01 00:00:00",,,,101,94,113.7,108,87.3,117.5,107,94.3,125.7
"2069-01-01 00:00:00",,,,105.5,94.2,117.7,105,84.8,115.8,106.5,86.1,127.8
"2070-01-01 00:00:00",,,,105.5,89.3,120.6,106,97.3,123.7,106.5,91.8,124.7
"2071-01-01 00:00:00",,,,100,83.8,120.7,98.5,84.3,122.1,100.5,86.3,125.1
"2072-01-01 00:00:00",,,,100.5,87,119,110.5,97.9,126.4,112,86.5,117
"2073-01-01 00:00:00",,,,101,90.6,117.1,102,88.4,120.4,99,84.9,113.7
"2074-01-01 00:00:00",,,,106.5,89.3,117.7,106.5,92,126.6,110.5,97.3,129
"2075-01-01 00:00:00",,,,104,87.3,120.7,99,84.6,120.4,108,92.3,121
"2076-01-01 00:00:00",,,,104,82,118.7,106,90.5,115.7,103,91.6,124.5
"2077-01-01 00:00:00",,,,105,94.6,126.1,101.5,86.6,116.1,102.5,86.3,127.7
"2078-01-01 00:00:00",,,,108,91.1,134.7,97.5,76.7,117.9,106,92,124.4
"2079-01-01 00:00:00",,,,106.5,86.2,116.7,99.5,87,113.1,101.5,86.6,125.4
"2080-01-01 00:00:00",,,,99,85.9,114.2,102.5,90,119,101.5,82.9,123.4
"2081-01-01 00:00:00",,,,105,85.7,118.8,105,93.9,124.7,105,90.3,118.8
"2082-01-01 00:00:00",,,,102.5,93,123.7,107,94.9,132,100.5,82.1,127.1
"2083-01-01 00:00:00",,,,99.5,84.9,121.4,106,90.5,117.4,108,90.3,122.1
"2084-01-01 00:00:00",,,,98,89.3,121.8,103.5,81.6,119.9,103,88.3,124.4
"2085-01-01 00:00:00",,,,106,87.9,119.8,107,88.9,122.7,100,84.3,116.8
"2086-01-01 00:00:00",,,,101,90.3,121.4,101.5,83.8,116.7,103,88,123.1
"2087-01-01 00:00:00",,,,102.5,86.6,126.9,107.5,86.2,120.7,108.5,85.8,125.8
"2088-01-01 00:00:00",,,,103,88.6,113,105,88.3,120.4,102.5,89.3,113.7
"2089-01-01 00:00:00",,,,109,91.9,121.4,105.5,90.2,119.5,102,88.6,118
"2090-01-01 00:00:00",,,,103.5,92,119.6,107,89.9,124.7,107.5,84.3,120.1
"2091-01-01 00:00:00",,,,107,83.6,122,106,93.2,117.7,101,81,123.8
"2092-01-01 00:00:00",,,,107.5,89.2,118,103.5,84.3,115.7,108,94.3,121.5
"2093-01-01 00:00:00",,,,107,95.6,119.7,114,97.9,129.4,106.5,76.6,123.4
"2094-01-01 00:00:00",,,,102.5,88.4,121.7,103,92.6,119.4,108.5,88,123.4
"2095-01-01 00:00:00",,,,106.5,84.6,119.8,109.5,89.1,120,100.5,88.3,116.4
"2096-01-01 00:00:00",,,,103,89.5,117.4,99.5,81,116,106,87.6,133
"2097-01-01 00:00:00",,,,102,85.5,116.6,105,83.6,137.9,103,87,120.7
"2098-01-01 00:00:00",,,,101.5,87.6,121.4,108,92.2,128.3,110,81.7,122.4
"2099-01-01 00:00:00",,,,109.5,91.8,122,105.5,85,118.4,105,86.6,129.4
"2100-01-01 00:00:00",,,,104.5,91.9,121.2,107,90.5,118.6,115,97.2,127.8
