"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"2074-01-01 00:00:00",,,,31.21,29.56,34.03,33.54,30.54,35.55,33.93,31.45,36.86
"2075-01-01 00:00:00",,,,32.45,29.54,34.25,33.94,30.02,35.57,34.84,31.41,37.69
"2076-01-01 00:00:00",,,,31.42,27.62,34.14,32.8,29.61,37.82,35.4,31.86,39.51
"2077-01-01 00:00:00",,,,31.08,28.78,34.38,33.16,29.76,36.57,36.95,31.84,39.19
"2078-01-01 00:00:00",,,,30.23,27.71,34.22,34.2,30.29,37,35.4,33.04,38.43
"2079-01-01 00:00:00",,,,31.6,29.92,33.96,33.11,31.14,36.88,36.2,31.12,39.01
"2080-01-01 00:00:00",,,,32.86,29.46,35.06,34.13,30.91,36.64,35.08,31.61,38.24
"2081-01-01 00:00:00",,,,32.09,29.3,36.04,33.63,31.23,35.64,36.47,31.68,40.9
"2082-01-01 00:00:00",,,,30.62,28.21,33.14,33.23,29.25,36.26,37.01,33.33,40.21
"2083-01-01 00:00:00",,,,32.87,30.28,34.08,33.41,30.38,35.31,35.93,32.39,40.96
"2084-01-01 00:00:00",,,,31.86,29.81,34.13,34.07,30.69,36.07,35.9,32.85,40.28
"2085-01-01 00:00:00",,,,31.14,28.41,33.88,32.27,30.23,36.18,36.08,33.31,41.39
"2086-01-01 00:00:00",,,,31.55,29.37,35.39,33.72,31.13,35.31,35.21,33.17,40.56
"2087-01-01 00:00:00",,,,31.51,29.55,34.21,32.57,29.57,35.49,36.2,32.52,40.75
"2088-01-01 00:00:00",,,,32.64,29.67,34.54,33.58,29.97,36.67,36.47,33.32,40.21
"2089-01-01 00:00:00",,,,30.98,28.38,35.26,33.84,30.85,37.04,36.02,33.46,39.6
"2090-01-01 00:00:00",,,,30.51,29.17,33.48,32.88,30.27,35.48,36.86,33.35,40.77
"2091-01-01 00:00:00",,,,31.55,29.29,34.27,33.34,30.09,35.46,38.01,34.06,42.07
"2092-01-01 00:00:00",,,,31.31,28.9,34.76,32.85,30.32,35.71,36.75,33.52,41.42
"2093-01-01 00:00:00",,,,32.04,29.25,34.96,32.93,30.92,34.58,36.4,32.65,40.69
"2094-01-01 00:00:00",,,,31.77,28.28,34.5,33.62,31.77,36.43,37.52,32.5,43.07
"2095-01-01 00:00:00",,,,31.5,29.4,33.39,34.27,31.14,36.33,35.9,32.99,39.18
"2096-01-01 00:00:00",,,,31.63,28.88,34.57,33.98,31.81,37.91,37.05,31.4,40.24
"2097-01-01 00:00:00",,,,31.87,29.78,34.01,33.6,30.3,36.51,36.35,33.63,41.34
"2098-01-01 00:00:00",,,,31.57,28.09,34.19,34.03,30.99,36.04,36.99,32.61,41.59
"2099-01-01 00:00:00",,,,31.18,28.78,34.26,33.76,31.06,37.9,37.1,33.49,44.6
"2100-01-01 00:00:00",,,,31.12,29.12,34.13,34.28,31.22,37.78,37.42,34.37,42.07
